FullSampleName,cultivar,ACCID,country,ploidy,species,use,snp_calling_keep,species_keep,heterozygosity_keep,ibd_species_keep,faststructure_keep,pca_keep,domestica_keep,domestica_clones_keep,top_eight,colour_pheno,firm_pheno,size_pheno,ACP,ACNO
MalGBS_P11_A08_222597,Brusnichnoe,222597,Former Soviet Union,NA,domestica,NA,1,1,1,1,1,1,1,1,0,red,firm,small,PI,293887
MalGBS_P11_B08_1477,BII,1477,NA,NA,domestica,NA,1,1,1,1,1,1,1,1,0,green,firm,small,PI,588751
MalGBS_P11_C08_13751,Bean,13751,NA,NA,domestica,NA,1,1,1,1,1,1,1,1,0,green,firm,large,PI,589291
MalGBS_P11_D08_139565,Lorna_Doone,139565,United Kingdom,NA,domestica,NA,1,1,1,1,1,1,1,1,0,red,firm,large,PI,161840
MalGBS_P11_E08_1442,BII,1442,NA,NA,domestica,NA,1,1,1,1,1,1,1,1,0,green,soft,large,PI,588750
MalGBS_P11_F08_9910,Razor_Golden_Delicious,9910,NA,NA,domestica,NA,1,1,1,0,0,0,1,0,0,NA,NA,NA,PI,589136
MalGBS_P11_G08_7475,Oregon_Spur_Delicious,7475,NA,NA,domestica,Other,1,1,1,0,0,0,1,0,0,NA,NA,NA,PI,589035
MalGBS_P11_H08_88375,Rosu_de_Cluj,88375,NA,NA,domestica,NA,1,1,1,1,1,1,1,1,0,red,soft,small,PI,613831
MalGBS_P11_A09_139526,Jaune_lu_Desert,139526,France,NA,domestica,NA,1,1,0,0,0,0,0,0,0,NA,NA,NA,PI,161762
MalGBS_P11_B09_7823,Bancroft,7823,NA,NA,domestica,Other,1,1,1,1,1,1,1,1,0,red,firm,large,PI,589052
MalGBS_P11_C09_168733,Lamb_Abbey_Pearmain-B,168733,NA,NA,domestica,NA,1,1,1,0,0,0,1,0,0,NA,NA,NA,PI,199419
MalGBS_P11_D09_140094,Frequin,140094,France,2x,domestica,NA,1,1,1,1,1,1,1,1,0,red,soft,small,PI,162503
MalGBS_P11_E09_10635,Jerseyred,10635,United States,NA,domestica,NA,1,1,0,0,0,0,0,0,0,NA,NA,NA,PI,589159
MalGBS_P11_F09_151828,King_Harry,151828,United Kingdom,NA,domestica,NA,1,1,1,1,1,1,1,1,0,NA,NA,NA,PI,175010
MalGBS_P11_G09_331998,Karastojanka,331998,Bulgaria,NA,domestica,NA,1,1,1,1,0,0,1,1,0,NA,NA,NA,PI,437062
MalGBS_P11_H09_522645,Malt_Bagaevskii,522645,Former Soviet Union,NA,domestica,NA,1,1,1,0,0,0,1,0,0,NA,NA,NA,PI,613938
MalGBS_P11_A10_522646,Novaspy,522646,Canada,NA,domestica,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,PI,613939
MalGBS_P11_B10_93796,63-43_(Granite_Belt),93796,NA,NA,domestica,NA,1,1,1,1,1,1,1,1,0,red,soft,small,PI,644156
MalGBS_P11_C10_97113,Hua_Guan,97113,China,NA,domestica,Other,1,1,1,1,1,1,1,1,0,NA,firm,small,PI,644171
MalGBS_P11_D10_95208,NA,95208,NA,NA,domestica,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,PI,644167
MalGBS_P11_E10_9207,Dermen_Delicious_4X,9207,NA,4x,domestica,NA,1,1,1,0,0,0,1,0,0,NA,NA,NA,PI,589110
MalGBS_P11_F10_17596,Z_73,17596,NA,NA,domestica,NA,1,1,1,1,1,1,1,1,0,red,firm,large,PI,589496
MalGBS_P11_G10_722,Pohorka,722,NA,2x,domestica,NA,1,1,1,1,1,1,1,1,0,red,soft,large,PI,588745
MalGBS_P11_H10_1426,BII,1426,NA,NA,domestica,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,PI,588749
MalGBS_P11_A11_152078,Trembletts_Bitter,152078,United Kingdom,2x,domestica,Cider,1,1,1,1,1,1,1,1,0,red,firm,small,PI,175550
MalGBS_P11_B11_13118,Montgomery,13118,United States,NA,domestica,NA,1,1,1,1,1,1,1,1,0,green,soft,large,PI,589256
MalGBS_P11_C11_255474,Melon,255474,United Kingdom,NA,domestica,NA,1,1,1,1,1,1,1,1,0,red,firm,large,PI,342430
MalGBS_P11_D11_24697,London_Pippin,24697,NA,2x,domestica,Other,1,1,1,1,1,1,1,1,0,green,soft,large,PI,590132
MalGBS_P11_E11_24859,Hudson's_Golden_Gem,24859,United States,NA,domestica,Other,0,0,0,0,0,0,0,0,0,NA,NA,NA,PI,590157
MalGBS_P11_F11_13857,Shawnee,13857,United States,NA,domestica,Other,1,1,1,1,1,1,1,1,0,NA,NA,NA,PI,589306
