PC	eigenvalue	proportion of total	cumulative proportion
660	2.05436	3.6074E-4	0.92179
661	2.05003	3.5998E-4	0.92215
662	2.04536	3.5916E-4	0.92251
663	2.04145	3.5847E-4	0.92287
664	2.0402	3.5825E-4	0.92322
665	2.03426	3.5721E-4	0.92358
666	2.03325	3.5703E-4	0.92394
667	2.02914	3.5631E-4	0.92429
668	2.02785	3.5609E-4	0.92465
669	2.02379	3.5537E-4	0.92501
670	2.01975	3.5466E-4	0.92536
671	2.01809	3.5437E-4	0.92571
672	2.01328	3.5353E-4	0.92607
673	2.01126	3.5317E-4	0.92642
674	2.00644	3.5233E-4	0.92677
675	2.00473	3.5203E-4	0.92713
676	1.99382	3.5011E-4	0.92748
677	1.99174	3.4974E-4	0.92783
678	1.99026	3.4949E-4	0.92817
679	1.98779	3.4905E-4	0.92852
680	1.98474	3.4852E-4	0.92887
681	1.98274	3.4817E-4	0.92922
682	1.97812	3.4735E-4	0.92957
683	1.97411	3.4665E-4	0.92991
684	1.96894	3.4574E-4	0.93026
685	1.96646	3.4531E-4	0.93061
686	1.9651	3.4507E-4	0.93095
687	1.96301	3.447E-4	0.9313
688	1.95824	3.4386E-4	0.93164
689	1.95689	3.4363E-4	0.93198
690	1.95283	3.4291E-4	0.93233
691	1.94881	3.4221E-4	0.93267
692	1.94411	3.4138E-4	0.93301
693	1.93983	3.4063E-4	0.93335
694	1.93807	3.4032E-4	0.93369
695	1.93517	3.3981E-4	0.93403
696	1.93205	3.3926E-4	0.93437
697	1.9301	3.3892E-4	0.93471
698	1.92624	3.3824E-4	0.93505
699	1.91905	3.3698E-4	0.93538
700	1.91815	3.3682E-4	0.93572
701	1.91664	3.3656E-4	0.93606
702	1.90801	3.3504E-4	0.93639
703	1.90337	3.3423E-4	0.93673
704	1.90221	3.3402E-4	0.93706
705	1.89918	3.3349E-4	0.93739
706	1.89142	3.3213E-4	0.93773
707	1.88919	3.3174E-4	0.93806
708	1.8866	3.3128E-4	0.93839
709	1.88265	3.3059E-4	0.93872
710	1.88165	3.3041E-4	0.93905
711	1.87767	3.2972E-4	0.93938
712	1.87516	3.2927E-4	0.93971
713	1.8742	3.291E-4	0.94004
714	1.87058	3.2847E-4	0.94037
715	1.86144	3.2686E-4	0.94069
716	1.86019	3.2665E-4	0.94102
717	1.85726	3.2613E-4	0.94135
718	1.85532	3.2579E-4	0.94167
719	1.84714	3.2435E-4	0.942
720	1.84519	3.2401E-4	0.94232
721	1.84371	3.2375E-4	0.94264
722	1.83988	3.2308E-4	0.94297
723	1.8384	3.2282E-4	0.94329
724	1.83202	3.217E-4	0.94361
725	1.82614	3.2067E-4	0.94393
726	1.82515	3.2049E-4	0.94425
727	1.82152	3.1986E-4	0.94457
728	1.82084	3.1974E-4	0.94489
729	1.81685	3.1904E-4	0.94521
