apple_id,PLANTID,usda_ploidy,het,ploidy
444,Benoni,NA,0.3787763921003753,2x
445,Atlas,NA,0.36525340206967133,2x
446,Cornish Gilliflower,NA,0.3069633448315075,2x
447,Creamy Kitaika,NA,0.33927826845077896,2x
448,Black Oxford,NA,0.34957924263674617,2x
449,Delikates,NA,0.36729085326560784,2x
450,Collamer Twenty Ounce,NA,0.36776467912512795,2x
451,Damelot,2x,0.3215192752359653,2x
452,Britemac,NA,0.3342651908570562,2x
453,Canavial-14,3x,0.5026629013305031,3x
454,Cranzhevoje,NA,0.3772601493499109,2x
455,Caillouett,3x,0.47952124635154086,3x
456,Coconut Crunch,NA,0.39240362382017363,2x
457,Early Crimson,NA,0.334919070543194,2x
458,Antonovka Ottawa,NA,0.337629354459649,2x
459,Drakenstein,NA,0.34697320040938556,2x
460,Akero,NA,0.49150904059739964,3x
461,Beauty of Bath,NA,0.32060005306849626,2x
462,Crawley Reinette,NA,0.3421970357454228,2x
463,Autumn Arctic,NA,0.36924301580683067,2x
464,Brunnerling,NA,0.4976877298055419,3x
465,Coat Jersey,2x,0.3706739699025814,2x
466,Chieftain,2x,0.3666085440278989,2x
467,Doux Tardif,3x,0.4814260263068117,3x
468,Ananas Berzenicki,NA,0.35696144952806946,2x
469,Amur Naliv,2x,0.3677836321595087,2x
471,Deacon Jones,NA,0.3281907433380084,2x
472,Crimson Bramley,NA,0.45061786892081424,3x
473,Crimson King,3x,0.4537830256624086,3x
474,Cheddar,NA,0.34134414919828665,2x
475,Chiver's Delight,NA,0.3550377165384178,2x
476,Antonovka,NA,0.5162427504643493,3x
477,Daux Belan,2x,0.3458075887949661,2x
478,Bob White,2x,0.3790322580645161,2x
480,Blairmont,NA,0.3668928395436109,2x
481,Bouteille,NA,0.36130169440127363,2x
482,Court Royal,3x,0.45672074599143325,3x
483,Baumann's Reinette,2x,0.35717940942344867,2x
484,Camuzat,2x,0.37661574618096355,2x
485,Caravel,NA,0.3494844774648421,2x
486,Brettacher,3x,0.4634680262309996,3x
487,Belle Norman,2x,0.4070732724309162,2x
489,Champagne Reinette,NA,0.3601739888556158,2x
490,Benitts Roter Finkenwerde,NA,0.3345779159243395,2x
491,Carlton,NA,0.3663811076153292,2x
492,Beforest,NA,0.5844073386149122,3x
493,Anis Aliy K-32,NA,0.3347579697509571,2x
494,Blanc Mollet,2x,0.3389371138319245,2x
495,Early Joe,NA,0.3403112088245328,2x
496,Bemali,NA,0.31913119290398395,2x
499,Belle Fleur de France,3x,0.5021890754709829,3x
500,Apfel aus Grunheide,NA,0.35776695348925364,2x
501,Akin,2x,0.3466320457905311,2x
502,Cartigny,3x,0.4851123914938782,3x
503,Berner Rosen,NA,0.3571888859406391,2x
504,Doux Normandie,2x,0.3368712330844168,2x
505,Alkmene,NA,0.35227057351882035,2x
506,Boutteville,2x,0.3654713619650506,2x
507,Bella de Jardins,2x,0.36396459573177664,2x
508,Coast Apple,NA,0.3518820363140139,2x
510,Charden,NA,0.48165346271938136,3x
511,Cestra Belferkitaika,NA,0.3469921534437663,2x
512,Bedford Red,NA,0.36835222319093286,2x
513,Anoka,NA,0.3549145218149426,2x
514,Dakota,NA,0.38205526704825443,2x
515,Duchess,NA,0.3572741745953527,2x
516,Collet,NA,0.35964330389295324,2x
517,Barry,NA,0.3777718812781926,2x
521,Doucet Rouge,3x,0.465315947083128,3x
522,Cheal's Golden Gem,NA,0.19949963989234676,2x
523,Crown Prince Rudolf,NA,0.35204313710625074,2x
524,Dulcina,NA,0.3577006178689208,2x
527,Beacon,NA,0.3210454493764452,2x
528,Dunkerton Late Sweet,2x,0.34134414919828665,2x
529,Ashmead's Kernel,3x,0.47969182366096813,3x
530,Berlepsch Red,NA,0.3620598157765058,2x
531,C'Huero Biz Bras,3x,0.2846745763996816,2x
533,Crookston,NA,0.37959137257874986,2x
536,Drap d'Or Guemene,2x,0.35931162579128917,2x
537,Binet Rouge,2x,0.3377620257003146,2x
538,Clear Gold,NA,0.35409954133656796,2x
540,Dukat,NA,0.34918122891474923,2x
541,Arkad Zimnyi,NA,0.34087979985595696,2x
542,Del Cirio,NA,0.3394298927258254,2x
543,Boche,2x,0.34016906106667677,2x
544,Conrad,NA,0.37834994882680717,2x
545,Bongkushu (880626),NA,0.1861472271710701,2x
546,Acme,NA,0.3503373640119783,2x
547,Beatrix,NA,0.35789962472991926,2x
548,Belle de Boskoop,3x,0.4761760357833289,3x
549,Blaze,NA,0.33964785262120467,2x
550,Binet Blanc,2x,0.34874530912399077,2x
551,Cimitiere,2x,0.35959592130700124,2x
552,Diana,NA,0.44596489898032676,3x
553,Belle Fille,3x,0.47988135400477616,3x
554,Auralia,NA,0.3593874379288124,2x
555,Black Gilliflower,NA,0.34009324892915355,2x
556,Battleford,NA,0.30712444562374436,2x
557,Amere de Bellevue,3x,0.48211781206171106,3x
559,Adersleber Kalvill,NA,0.3612353587809408,2x
560,Champlain,NA,0.3296690800197112,2x
561,Bonne-Hotture,2x,0.33212349797202534,2x
562,Bramley,3x,0.4753421022705735,3x
563,Dunning,NA,0.3402448732042,2x
564,Cole,NA,0.3944884576020621,2x
565,Brunnsapple,NA,0.3495887191539365,2x
566,Benham,NA,0.3305030135324665,2x
567,Bietigheimer,NA,0.46415033546870854,3x
568,Annie Elizabeth,NA,0.33789469694098023,2x
569,Bella di Pontoise,2x,0.34136310223266747,2x
570,Bowden Seedling,NA,0.3651396838633865,2x
571,Amelia,NA,0.3765967931465828,2x
572,Baxter,NA,0.3559758917402676,2x
573,Bashkirian Beauty,NA,0.559825253023009,3x
574,Blue Pearmain,NA,0.340197490618248,2x
575,Ottawa 665,NA,0.30928509154315603,2x
576,Tom McLean,NA,0.3731662939236572,2x
577,Cannonball,NA,0.35488609226337137,2x
578,Astrachan,NA,0.3793639361661802,2x
581,Kent VI,NA,0.3410124710966226,2x
583,Canada Grise,NA,0.49169857094120767,3x
584,Gala Must Regal Prince,NA,0.3823679921155377,2x
586,Ottawa 381,NA,0.38127819263864143,2x
588,Reine des Reinettes,NA,0.39123801220575416,2x
589,Princesse,NA,0.4031973769000417,2x
590,Suntan,NA,0.48201357037261666,3x
592,Korona,NA,0.3268829839657329,2x
594,S47-21-33,NA,0.301883931617452,2x
596,S42-38-04,NA,0.3579849133846329,2x
599,S47-25-41,NA,0.40038285129449225,2x
602,S47-23-22,NA,0.3684848944315985,2x
609,S47-24-47,NA,0.3316591486296956,2x
610,S47-25-72,NA,0.5295667336340548,3x
611,S47-21-25,NA,0.34996777984155264,2x
612,S47-21-32,NA,0.3220215306470566,2x
614,S47-20-38,NA,0.3259637617982639,2x
615,S42-61-05,NA,0.3720954474811417,2x
616,S41-11-03,NA,0.5672548425002844,3x
617,S42-28-05,NA,0.5360771009438611,3x
620,Sunrise,NA,0.34358060725522155,2x
621,S42-39-10,NA,0.34233918350327885,2x
