Taxa	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
291	-9.44498	23.693747	1.021687	-1.4098362	5.851958	2.102495	-1.8657622	8.477389	3.588073	14.173755
292	1.4719999	7.6462126	-4.308547	-17.33413	-2.9908707	-0.3603679	9.825901	4.370549	-9.728493	-7.8183646
293	23.717306	-1.4285569	-2.9517462	-2.5636547	6.5660257	1.2909924	3.6077883	9.012748	-2.369754	-2.6224043
295	-4.972111	19.216452	3.8682404	0.34229124	-4.30808	3.0766792	-0.7916715	7.4149566	-3.763671	-0.17859003
296	-1.5084196	10.856835	0.9200498	-3.4451847	0.1412181	0.31266004	-1.1028962	5.8398266	0.40076193	-0.6208612
297	17.383076	0.33173108	-1.6903108	-7.213503	10.452461	-5.4693727	1.4073334	0.11982392	-0.3432044	9.220125
298	5.8552494	17.83062	0.18567292	-11.882432	-4.7017083	-10.025388	7.866708	8.581365	-4.153471	-9.103016
299	7.9033628	15.076104	-3.326856	-3.3202152	-5.7006893	-4.7369847	11.078233	6.6366234	0.02828524	-5.9317417
300	6.8924723	16.162134	-2.7039835	-8.628764	-5.852846	-8.130997	5.7547846	7.0072165	-8.414871	-3.1713994
301	6.165099	16.961002	-5.4979825	-7.420324	-6.3288584	-8.961701	14.284631	0.46163413	-0.95344836	-9.947277
302	-5.147081	17.834435	3.3712456	3.8820226	9.890846	6.9566255	-15.649611	14.008862	3.0372343	12.956053
304	23.047659	0.7197005	-0.17100671	-6.172211	-0.21538158	-7.469534	-3.9634964	3.080959	-1.9238265	6.3544636
305	6.882756	6.6959686	14.592133	-9.969477	-7.4187074	12.252686	4.9281664	-2.3868418	5.024771	7.4768987
306	-2.3678417	16.042345	0.605787	-10.790287	-0.3271397	3.0895247	5.800315	2.352333	-13.996311	-11.205943
307	0.883885	6.2565327	8.630159	-4.866253	-0.9594378	5.678315	-0.88080764	-0.9002912	-0.049247	-0.8661877
310	2.947593	-0.8374461	0.2683051	4.019556	5.953297	2.646019	-1.3063738	6.194567	-12.969824	11.88879
311	-3.7363493	40.70557	6.9976377	18.343222	4.3662252	-11.982422	4.572789	2.1909978	6.6342263	-4.167068
313	17.981852	11.234416	-6.471246	2.052145	-9.124033	2.502985	1.9576358	-2.8186867	8.035714	5.127834
314	0.74059147	8.755609	1.8541483	2.7787108	-4.720657	3.1500375	0.77265155	2.930276	0.00662955	1.7999042
315	-5.36506	29.448883	4.6332498	15.231688	1.1705528	0.18570624	-4.665837	-0.39995012	5.1705575	1.8239601
