 FID  IID       O(HOM)       E(HOM)        N(NM)            F
 749  749        78122     6.29e+04       105524       0.3571
 751  751        69222     6.29e+04       105524       0.1483
 752  752        69590     6.29e+04       105524        0.157
 753  753        66785     6.29e+04       105524      0.09116
 754  754        68750     6.29e+04       105524       0.1373
 755  755        58314     6.29e+04       105524      -0.1076
 756  756        69438     6.29e+04       105524       0.1534
 757  757        70219     6.29e+04       105524       0.1717
 759  759        67214     6.29e+04       105524       0.1012
 760  760        57610     6.29e+04       105524      -0.1241
 761  761        56129     6.29e+04       105524      -0.1588
 762  762        69632     6.29e+04       105524        0.158
 763  763        48994     6.29e+04       105524      -0.3262
 764  764        70212     6.29e+04       105524       0.1716
 765  765        67893     6.29e+04       105524       0.1172
 766  766        59192     6.29e+04       105524     -0.08698
 767  767        68885     6.29e+04       105524       0.1404
 768  768        67769     6.29e+04       105524       0.1142
 769  769        69765     6.29e+04       105524       0.1611
 770  770        67830     6.29e+04       105524       0.1157
 771  771        69236     6.29e+04       105524       0.1487
 772  772        74981     6.29e+04       105524       0.2834
 773  773        72031     6.29e+04       105524       0.2142
 774  774        67254     6.29e+04       105524       0.1022
 775  775        72869     6.29e+04       105524       0.2339
 776  776        67816     6.29e+04       105524       0.1153
 777  777        69527     6.29e+04       105524       0.1555
 778  778        66347     6.29e+04       105524      0.08088
 779  779        69507     6.29e+04       105524        0.155
 780  780        68169     6.29e+04       105524       0.1236
 781  781        68893     6.29e+04       105524       0.1406
 782  782        68948     6.29e+04       105524       0.1419
 783  783        66748     6.29e+04       105524      0.09029
 785  785        70470     6.29e+04       105524       0.1776
 786  786        69450     6.29e+04       105524       0.1537
 787  787        67231     6.29e+04       105524       0.1016
 788  788        58124     6.29e+04       105524       -0.112
 789  789        69093     6.29e+04       105524       0.1453
 790  790        56271     6.29e+04       105524      -0.1555
 791  791        66446     6.29e+04       105524      0.08321
 793  793        77964     6.29e+04       105524       0.3534
 794  794        68895     6.29e+04       105524       0.1407
 795  795        69677     6.29e+04       105524        0.159
 796  796        67328     6.29e+04       105524       0.1039
 797  797        69337     6.29e+04       105524        0.151
 798  798        71539     6.29e+04       105524       0.2027
 799  799        69643     6.29e+04       105524       0.1582
 800  800        69946     6.29e+04       105524       0.1653
 801  801        71964     6.29e+04       105524       0.2127
 802  802        68944     6.29e+04       105524       0.1418
 803  803        66870     6.29e+04       105524      0.09315
 804  804        68072     6.29e+04       105524       0.1214
 806  806        68347     6.29e+04       105524       0.1278
 807  807        64561     6.29e+04       105524      0.03898
 808  808        69408     6.29e+04       105524       0.1527
 809  809        70442     6.29e+04       105524        0.177
 810  810        64949     6.29e+04       105524      0.04809
 811  811        65978     6.29e+04       105524      0.07223
